# Russian	Uzbek (Latin)	English
Перемещаю остаток…	Qoldiq ko‘chirilmoqda…	Transferring stock…
Перемещено 	Ko‘chirildi: 	Transferred\s
 шт. в короб 	 dona, qutiga: 	 units to box\s
. Исходный короб отправлен в архив.	. Manba quti arxivga yuborildi.	. The source box has been archived.
 Администратором автоматически подтверждено проверок: 	 Administrator avtomatik tasdiqlagan tekshiruvlar: 	 Checks automatically approved by the administrator:\s
Сначала завершите подсчёт открытого короба.	Avval ochiq quti sanog‘ini yakunlang.	Finish counting the open box first.
Завершаю инвентаризацию…	Inventarizatsiya yakunlanmoqda…	Completing inventory count…
Проверка завершена.	Tekshiruv yakunlandi.	Check complete.
Инвентаризация передана менеджеру на актуализацию.	Inventarizatsiya tuzatish uchun menejerga yuborildi.	Inventory count sent to the manager for stock update.
Полная инвентаризация	To‘liq inventarizatsiya	Full inventory count
Частичная инвентаризация	Qisman inventarizatsiya	Partial inventory count
Проверка содержимого короба	Quti tarkibini tekshirish	Box contents check
Не удалось выполнить операцию в WMS. Повторите попытку.	WMS amalini bajarib bo‘lmadi. Qayta urinib ko‘ring.	Could not complete the WMS operation. Please try again.
Выберите способ приемки. В обоих режимах один КИЗ можно принять только один раз.	Qabul qilish usulini tanlang. Ikkala rejimda ham har bir KIZ faqat bir marta qabul qilinadi.	Choose a receiving method. Each marking code can only be received once in either mode.
Обычная приемка	Oddiy qabul qilish	Standard receiving
Приемка по боксам	Qutilar bo‘yicha qabul qilish	Receiving by boxes
Приемка по боксам: сканируйте бокс/короб, добавляйте товары, закройте его и переходите к следующему.	Qutilar bo‘yicha qabul: qutini skanerlang, tovarlarni qo‘shing, qutini yoping va keyingisiga o‘ting.	Receiving by boxes: scan a box, add items, close it and move on to the next one.
Режим: 	Rejim: 	Mode:\s
Клиент приемки	Qabul qilinayotgan tovar mijozi	Receiving client
Выбрать клиента	Mijozni tanlash	Select client
Изменить режим	Rejimni o‘zgartirish	Change mode
Режим: без коробов · принято товаров: 	Rejim: qutisiz · qabul qilingan tovarlar: 	Mode: no boxes · items received:\s
Режим: по боксам · закрыто боксов: 	Rejim: qutilar bo‘yicha · yopilgan qutilar: 	Mode: by boxes · boxes closed:\s
 · товаров: 	 · tovarlar: 	 · items:\s
ПРОВЕРКА ПРИНЯТЫХ КИЗ\nСканирование здесь ничего повторно не принимает и не меняет остатки.	QABUL QILINGAN KIZLARNI TEKSHIRISH\nBu yerda skanerlash tovarni qayta qabul qilmaydi va qoldiqni o‘zgartirmaydi.	CHECK RECEIVED MARKING CODES\nScanning here does not receive items again or change stock.
Сканируйте КИЗ для проверки	Tekshirish uchun KIZni skanerlang	Scan a marking code to check
Проверить КИЗ	KIZni tekshirish	Check marking code
Вернуться к приемке	Qabul qilishga qaytish	Return to receiving
Сканируйте КИЗ	KIZni skanerlang	Scan marking code
Принять КИЗ	KIZni qabul qilish	Receive marking code
Отменить этот товар	Bu tovarni bekor qilish	Cancel this item
Сканируйте ШК товара	Tovar SHKini skanerlang	Scan product barcode
Принять товар	Tovarni qabul qilish	Receive item
Проверить принятые КИЗы	Qabul qilingan KIZlarni tekshirish	Check received marking codes
Закрыть приемку	Qabul qilishni yakunlash	Finish receiving
Синхронизировать очередь (	Navbatni sinxronlash (	Sync queue (
Сменить клиента	Mijozni almashtirish	Change client
Закрытие короба: 	Quti yopilmoqda: 	Closing box:\s
Повторить закрытие	Yopishni qayta urinish	Retry closing
Сканируйте ШК нового короба	Yangi quti shtrixkodini skanerlang	Scan new box barcode
Открыт короб: 	Ochiq quti: 	Open box:\s
 · в коробе: 	 · qutida: 	 · in box:\s
Приложение не смогло открыть локальную базу. Переустановите приложение или очистите данные ТСД.	Ilova mahalliy bazani ocha olmadi. Ilovani qayta o‘rnating yoki TSD ilovasi ma’lumotlarini tozalang.	The app could not open its local database. Reinstall the app or clear the handheld app data.
Скачать приложение заново	Ilovani qayta yuklab olish	Download app again
Сначала выполните вход в настройках.	Avval sozlamalarda tizimga kiring.	Sign in through settings first.
Выберите клиента FBO Ozon.	Ozon FBO mijozini tanlang.	Select an FBO Ozon client.
Список клиентов ещё не загружен. Нажмите «Обновить клиентов».	Mijozlar ro‘yxati yuklanmagan.	Client list has not loaded yet. Tap “Refresh clients”.
Показать поставки FBO Ozon	Ozon FBO yetkazib berishlarini ko‘rsatish	Show FBO Ozon shipments
Загружаю поставки FBO Ozon...	Ozon FBO yetkazib berishlari yuklanmoqda...	Loading FBO Ozon shipments...
Не удалось загрузить поставки FBO Ozon.	Ozon FBO ro‘yxatini yuklab bo‘lmadi.	Could not load FBO Ozon shipments.
Выберите поставку для сборки.	Yig‘ish uchun yetkazib berishni tanlang.	Select a shipment to pick.
FBO Ozon — поставки	Ozon FBO — yetkazib berishlar	FBO Ozon — shipments
Подождите, идёт загрузка...	Kutib turing, yuklanmoqda...	Please wait, loading...
Товары: 	Tovarlar: 	Products:\s
Короба: 	Qutilar: 	Boxes:\s
осталось единиц: 	qoldi: 	units remaining:\s
Посмотреть закрытые короба	Yopilgan qutilarni ko‘rish	View closed boxes
Открыть сборку	Yig‘ishni ochish	Open picking
Поставок с созданными коробами пока нет. Сначала создайте короба на этапе 3 в WMS.	Yaratilgan qutilari bor yetkazib berishlar yo‘q.	No shipments with created boxes yet. Create boxes at step 3 in WMS first.
Обновить список	Ro‘yxatni yangilash	Refresh list
Загружаю короба...	Qutilar yuklanmoqda...	Loading boxes...
Не удалось загрузить короба FBO Ozon.	Ozon FBO qutilarini yuklab bo‘lmadi.	Could not load FBO Ozon boxes.
Отсканируйте номер короба WMS или выберите его из списка.	WMS quti raqamini skanerlang yoki ro‘yxatdan tanlang.	Scan a WMS box number or select it from the list.
FBO Ozon — короба WMS	Ozon FBO — WMS qutilari	FBO Ozon — WMS boxes
Подождите...	Kutib turing...	Please wait...
Сканируйте короб WMS	WMS qutini skanerlang	Scan WMS box
Короб WMS	WMS qutisi	WMS box
 шт.	 dona	 units
Продолжить короб	Qutini davom ettirish	Continue box
Начать короб	Qutini boshlash	Start box
Обновить короба	Qutilarni yangilash	Refresh boxes
К списку поставок	Yetkazib berishlar ro‘yxatiga	Back to shipments
Отсканируйте номер короба WMS.	WMS quti raqamini skanerlang.	Scan the WMS box number.
Этот короб уже закрыт.	Bu quti allaqachon yopilgan.	This box is already closed.
Короб не относится к выбранной поставке FBO Ozon.	Quti tanlangan Ozon FBO yetkazib berishiga tegishli emas.	This box does not belong to the selected FBO Ozon shipment.
Сканируйте ШК каждой единицы, которую кладёте в короб.	Qutiga qo‘yilgan har bir mahsulot SHKini skanerlang.	Scan the barcode of each item you put into the box.
Короб не выбран.	Quti tanlanmagan.	No box selected.
К коробам	Qutilarga	Back to boxes
Собрано: 	Yig‘ildi: 	Picked:\s
По коробу заявлено недовложение. Ожидается решение менеджера в WMS.	Quti bo‘yicha kamlik bildirildi. Menejer qarori kutilmoqda.	A shortage was reported for this box. Waiting for the manager’s decision in WMS.
Обновить короб	Qutini yangilash	Refresh box
К списку коробов	Qutilar ro‘yxatiga	Back to box list
Отсканируйте ШК товара.	Mahsulot SHKini skanerlang.	Scan the product barcode.
Сейчас нужен ШК товара, а не номер короба WMS.	Hozir mahsulot SHKi kerak, WMS quti raqami emas.	Scan the product barcode now, not a WMS box number.
Товар не принят в короб FBO Ozon.	Tovar Ozon FBO qutisiga qabul qilinmadi.	Item was not accepted into the FBO Ozon box.
Товар принят. Сканируйте следующую единицу.	Tovar qabul qilindi. Keyingi birlikni skanerlang.	Item accepted. Scan the next item.
Не удалось закрыть короб.	Qutini yopib bo‘lmadi.	Could not close the box.
Короб закрыт: 	Quti yopildi: 	Box closed:\s
Ошибка FBO Ozon.	Ozon FBO xatosi.	FBO Ozon error.
Загружаю FBS-заявки...	FBS arizalari yuklanmoqda...	Loading FBS requests...
Не удалось загрузить FBS-заявки. Повторите через минуту.	FBS arizalarini yuklab bo‘lmadi. Bir daqiqadan so‘ng takrorlang.	Could not load FBS requests. Try again in a minute.
Выберите FBS-заявку.	FBS arizasini tanlang.	Select an FBS request.
Сборка FBS — заявки	FBS yig‘ish — arizalar	FBS picking — requests
Архив собранных FBS-заявок	Yig‘ilgan FBS arizalari arxivi	Completed FBS requests archive
Подождите, загружаю список заявок...	Kutib turing, arizalar ro‘yxati yuklanmoqda...	Please wait, loading requests...
Собранных FBS-заявок пока нет.	Yig‘ilgan FBS arizalari hozircha yo‘q.	No completed FBS requests yet.
Открытых FBS-заявок пока нет.	Hozircha ochiq FBS arizalari yo‘q.	No open FBS requests yet.
Собрано заказов: 	Yig‘ilgan buyurtmalar: 	Orders picked:\s
Заявка №	Ariza №	Request #
Готово к сборке: 	Yig‘ishga tayyor: 	Ready to pick:\s
Осталось заказов: 	Qolgan buyurtmalar: 	Orders remaining:\s
 · В работе: 	 · Jarayonda: 	 · In progress:\s
Ждут готовности маркетплейса: 	Marketplace tayyorligini kutmoqda: 	Waiting for marketplace readiness:\s
Нет доступного остатка: 	Erkin qoldiq yo‘q: 	No available stock:\s
Открыт незавершённый заказ — продолжите его.	Tugallanmagan buyurtma ochiq — uni davom ettiring.	There is an unfinished order — continue it.
Продолжить эту заявку	Shu arizani davom ettirish	Continue this request
Выбрать эту заявку	Shu arizani tanlash	Select this request
К рабочим FBS-заявкам	Faol FBS arizalariga	Back to active FBS requests
Архив собранных заявок	Yig‘ilgan arizalar arxivi	Completed requests archive
Открываю выбранную FBS-заявку...	Tanlangan FBS arizasi ochilmoqda...	Opening the selected FBS request...
Не удалось получить очередь FBS. Повторите через минуту.	FBS navbatini olib bo‘lmadi. Bir daqiqadan so‘ng takrorlang.	Could not retrieve the FBS queue. Try again in a minute.
Следуйте подсказке.	Ko‘rsatmaga amal qiling.	Follow the instructions.
Проверяю готовность этикетки Ozon автоматически...	Ozon stikeri tayyorligini avtomatik tekshiryapman...	Automatically checking whether the Ozon label is ready...
Собрано сегодня: 	Bugun yig‘ildi: 	Picked today:\s
История наклеек	Stikerlar tarixi	Label history
Подождите, загружаю заказ...	Kutib turing, buyurtma yuklanmoqda...	Please wait, loading order...
Готовых заказов пока нет.	Hozircha tayyor buyurtmalar yo‘q.	No ready orders yet.
Проверить ещё раз	Yana tekshirish	Check again
К списку FBS-заявок	FBS arizalari ro‘yxatiga	Back to FBS requests
ЧТО ЗАБРАТЬ	NIMA OLISH KERAK	WHAT TO PICK
АРТИКУЛ: 	ARTIKUL: 	ARTICLE:\s
ЦВЕТ: 	RANG: 	COLOUR:\s
РАЗМЕР: 	O‘LCHAM: 	SIZE:\s
Заказ 	Buyurtma 	Order\s
арт. 	art. 	art.\s
Цвет: 	Rang: 	Colour:\s
ЛОКАЛЬНЫЙ ДОВОЗ\nWB уже принял этот заказ. Повторная наклейка недоступна и не требуется. Проверьте товар и нажмите «ТОВАР ОТОБРАН».	MAHALLIY YETKAZISH\nWB bu buyurtmani qabul qilgan. Qayta stiker mavjud emas va talab qilinmaydi. Mahsulotni tekshirib, «MAHSULOT OLINDI» tugmasini bosing.	LOCAL ADDITIONAL DELIVERY\nWB has already accepted this order. Another label is unavailable and not required. Check the item and tap “ITEM PICKED”.
ТОВАР ОТОБРАН	MAHSULOT OLINDI	ITEM PICKED
НАКЛЕЙКА НАКЛЕЕНА	STIKER YOPISHTIRILDI	LABEL APPLIED
ЗАЯВКА №	ARIZA №	REQUEST #
ОТРАБОТАНА · СОБРАНО: 	BAJARILDI · YIG‘ILDI: 	COMPLETED · PICKED:\s
из 	/ 	of\s
Осталось положить: 	Joylash qoldi: 	Still to pack:\s
не назначена	belgilanmagan	unassigned
нужных коробов нет	kerakli qutilar yo‘q	no required boxes
ПАЛЛЕТСОРТ: 	PALLETSORT: 	SORTING PALLET:\s
Зона: 	Zona: 	Zone:\s
Нужно коробов для заявки: 	Ariza uchun kerakli qutilar: 	Boxes needed for request:\s
ПОСЛЕ ЭТОГО ПАЛЛЕТСОРТА ОСТАВАЙТЕСЬ В ЭТОЙ ЗОНЕ	BU PALLETSORTDAN KEYIN SHU ZONADA QOLING	AFTER THIS SORTING PALLET, STAY IN THIS ZONE
Для этой заявки дальше нужны:	Bu ariza uchun keyin kerak:	Next items needed for this request:
 короб(а/ов)	 quti	 box(es)
На паллете отсутствует короб	Palletda quti yo‘q	A box is missing from the pallet
зона не назначена	zona belgilanmagan	zone unassigned
ЗОНА: 	ZONA: 	ZONE:\s
ПАЛЛЕТА: 	PALLET: 	PALLET:\s
1. НАЙДИТЕ И ОТСКАНИРУЙТЕ КОРОБ\nМожно сначала пикнуть QR паллетсорта.\n	1. QUTINI TOPING VA SKANERLANG\nAvval palletsort QR kodini skanerlash mumkin.\n	1. FIND AND SCAN THE BOX\nYou can scan the sorting pallet QR code first.\n
НЕСКОЛЬКО ВАРИАНТОВ, ГДЕ ВЗЯТЬ ТОВАР	MAHSULOTNI OLISH UCHUN BIR NECHTA JOY	SEVERAL LOCATIONS TO PICK THE ITEM
БЕЗ ПАЛЛЕТСОРТА	PALLETSORTSIZ	NO SORTING PALLET
зона не указана	zona ko‘rsatilmagan	zone unspecified
НЕ УХОДИТЕ ОТ ЭТОЙ ПАЛЛЕТЫ\nЗдесь ещё нужных коробов: 	BU PALLETDAN KETMANG\nBu yerda yana kerakli qutilar: 	STAY AT THIS PALLET\nMore required boxes here:\s
ДАЛЬШЕ ПО ЭТОЙ ЗАЯВКЕ	SHU ARIZA BO‘YICHA KEYINGILAR	NEXT IN THIS REQUEST
ПАЛЛЕТ-СОРТ: 	PALLETSORT: 	SORTING PALLET:\s
КОРОБ: 	QUTI: 	BOX:\s
Свернуть список остальных заказов	Qolgan buyurtmalarni yig‘ish	Hide remaining orders
Показать остальные заказы	Qolgan buyurtmalarni ko‘rsatish	Show remaining orders
В коробе есть нужный товар: 	Qutida kerakli mahsulot bor: 	The box contains the required item:\s
Номер короба или QR паллетсорта	Quti raqami yoki palletsort QR	Box number or sorting pallet QR
Проверить скан	Skanni tekshirish	Check scan
Короб подтверждён: 	Quti tasdiqlandi: 	Box confirmed:\s
2. ВОЗЬМИТЕ ИСХОДНЫЙ ТОВАР ДЛЯ ПЕРЕКЛЕЙКИ\n	2. QAYTA YORLIQLASH UCHUN MANBA MAHSULOTNI OLING\n	2. TAKE THE ORIGINAL ITEM FOR RELABELLING\n
Название: 	Nomi: 	Name:\s
Сканируйте исходный ШК	Manba SHKni skanerlang	Scan original barcode
Подтвердить исходный товар	Manba mahsulotni tasdiqlash	Confirm original item
ИСХОДНЫЙ ТОВАР ВЕРНЫЙ	MANBA MAHSULOT TO‘G‘RI	ORIGINAL ITEM IS CORRECT
3. ПЕРЕКЛЕЙТЕ ТОВАР И ОТСКАНИРУЙТЕ НОВЫЙ ШК\n	3. YORLIQNI ALMASHTIRING VA YANGI SHKNI SKANERLANG\n	3. RELABEL THE ITEM AND SCAN THE NEW BARCODE\n
Должно уехать: 	Jo‘natilishi kerak: 	Item to ship:\s
Сканируйте новый ШК после переклейки	Yangi SHKni skanerlang	Scan the new barcode after relabelling
ИСТОЧНИК: ХРАНЕНИЕ БЕЗ КОРОБОВ	MANBA: QUTISIZ SAQLASH	SOURCE: STORAGE WITHOUT BOXES
ИЗ ЭТОГО КОРОБА БУДЕТ ВЗЯТО\n	BU QUTIDAN OLINADI\n	TO BE TAKEN FROM THIS BOX\n
 ЕДИНИЦ ТОВАРА · 	 DONA · 	 UNITS ·\s
 ПОЗИЦИЙ	 TA POZITSIYA	 PRODUCTS
2. ВОЗЬМИТЕ ТОВАР И ОТСКАНИРУЙТЕ ЕГО ШК\n	2. MAHSULOTNI OLING VA SHKNI SKANERLANG\n	2. TAKE THE ITEM AND SCAN ITS BARCODE\n
Открыть окно сканирования ШК	SHK skanerlash oynasini ochish	Open barcode scanner
Товар подтверждён	Mahsulot tasdiqlandi	Item confirmed
3. ТЕПЕРЬ ОТСКАНИРУЙТЕ КИЗ DATA MATRIX\nНе сканируйте обычный ШК повторно.	3. ENDI DATA MATRIX KIZNI SKANERLANG\nOddiy SHKni qayta skanerlamang.	3. NOW SCAN THE DATA MATRIX MARKING CODE\nDo not scan the regular barcode again.
Открыть окно сканирования КИЗ	KIZ skanerlash oynasini ochish	Open marking code scanner
Этот КИЗ уже использовался в WB. Для этой единицы нужна новая маркировка.	Bu KIZ WBda ishlatilgan. Shu mahsulotga yangi markirovka kerak.	This marking code has already been used in WB. This item needs a new marking label.
Переклеить КИЗ	KIZni almashtirish	Replace marking label
Взять другую единицу	Boshqa mahsulotni olish	Take another item
Наклейте новый КИЗ на эту единицу и отсканируйте его. Старую этикетку сохраните до завершения операции.	Shu mahsulotga yangi KIZ yopishtiring va skanerlang. Amal tugaguncha eski yorliqni saqlang.	Apply a new marking label to this item and scan it. Keep the old label until the operation is complete.
Сканировать новый КИЗ	Yangi KIZni skanerlash	Scan new marking code
КИЗ НАЙДЕН В ДРУГОМ КОРОБЕ	KIZ BOSHQA QUTIDA TOPILDI	MARKING CODE FOUND IN ANOTHER BOX
Сейчас числится: 	Hozirgi quti: 	Currently recorded in:\s
Переместить в открытый короб: 	Ochiq qutiga ko‘chirish: 	Move to the open box:\s
ПЕРЕМЕСТИТЬ И ПРИНЯТЬ КИЗ	KO‘CHIRISH VA KIZNI QABUL QILISH	MOVE AND ACCEPT MARKING CODE
Нет — отсканировать другой КИЗ	Yo‘q — boshqa KIZni skanerlash	No — scan another marking code
ТОВАР ОТПИКАН\nТеперь WMS передаст состав заказа и КИЗ в Ozon.	MAHSULOT SKANERLANDI\nEndi WMS buyurtma va KIZni Ozonga yuboradi.	ITEM SCANNED\nWMS will now send the order contents and marking code to Ozon.
Передать заказ в Ozon	Buyurtmani Ozonga yuborish	Send order to Ozon
OZON ПРИНЯЛ СБОРКУ\nЭтикетка формируется. WMS проверяет её автоматически каждые 5 секунд — ждать на этом экране можно без нажатий.	OZON YIG‘IMNI QABUL QILDI\nStiker tayyorlanmoqda. WMS uni har 5 soniyada avtomatik tekshiradi.	OZON ACCEPTED THE ORDER\nThe label is being generated. WMS checks automatically every 5 seconds — no need to tap anything while waiting here.
ШК и КИЗ подтверждены для 	SHK va KIZ tasdiqlandi: 	Barcode and marking code confirmed for\s
Товар подтверждён. КИЗ не требуется.	Mahsulot tasdiqlandi. KIZ talab qilinmaydi.	Item confirmed. No marking code required.
ВСЁ ВЕРНО\n	HAMMASI TO‘G‘RI\n	ALL CORRECT\n
Отменить принятый КИЗ	Qabul qilingan KIZni bekor qilish	Cancel accepted marking code
ГОТОВО\nЗаказ собран и записан в заявку.	TAYYOR\nBuyurtma yig‘ildi va arizaga yozildi.	DONE\nOrder picked and recorded in the request.
Следующий заказ	Keyingi buyurtma	Next order
Проблема с товаром — отложить	Mahsulotda muammo — keyinga qoldirish	Item problem — postpone
Наклейка WB временно не загрузилась. Нажмите «Обновить» и не завершайте заказ без правильной наклейки.	WB stikeri vaqtincha yuklanmadi. «Yangilash»ni bosing va to‘g‘ri stikersiz buyurtmani yakunlamang.	The WB label could not be loaded temporarily. Tap “Refresh” and do not complete the order without the correct label.
НАКЛЕЙТЕ ШК ЗАКАЗА WB\nИЩИТЕ НАКЛЕЙКУ С КРУПНЫМИ ЦИФРАМИ: 	WB BUYURTMA SHK STIKERINI YOPISHTIRING\nKATTA RAQAMLI STIKERNI TOPING: 	APPLY THE WB ORDER BARCODE\nFIND THE LABEL WITH THESE LARGE DIGITS:\s
Наклейка для заказа №	Buyurtma stikeri №	Label for order #
часть A: 	A qismi: 	part A:\s
часть B: 	B qismi: 	part B:\s
ЭТО ЗАКАЗ 	BU BUYURTMA 	THIS IS AN ORDER FROM\s
Наклейка WB для него не требуется. Наклейте правильную этикетку 	WB stikeri talab qilinmaydi. To‘g‘ri stikerini yopishtiring: 	It does not need a WB label. Apply the correct label from\s
 для заказа №	 buyurtma №	 for order #
Этикетка Ozon ещё не загрузилась. Нажмите «Обновить» и не завершайте заказ без этикетки.	Ozon stikeri hali yuklanmadi. «Yangilash»ni bosing.	The Ozon label has not loaded yet. Tap “Refresh” and do not complete the order without a label.
НАКЛЕЙТЕ ЭТИКЕТКУ OZON\nЗаказ №	OZON STIKERINI YOPISHTIRING\nBuyurtma №	APPLY THE OZON LABEL\nOrder #
Этикетка Ozon готовится в безопасном формате. Нажмите «Обновить» через несколько секунд.	Ozon stikeri xavfsiz formatda tayyorlanmoqda. Bir necha soniyadan keyin «Yangilash»ni bosing.	The Ozon label is being prepared in a safe format. Tap “Refresh” in a few seconds.
Этикетка Ozon получена, но ТСД не смог безопасно открыть PDF. Нажмите «Обновить» — приложение больше не закроется.	Ozon stikeri olindi, ammo TSD PDF faylini xavfsiz ocha olmadi. «Yangilash»ni bosing.	The Ozon label was received, but the handheld could not open the PDF safely. Tap “Refresh” — the app will stay open.
Тихая печать 50×30 · подключить NIIMBOT B1	Jim chop etish 50×30 · NIIMBOT B1 ni ulash	Silent print 50×30 · connect NIIMBOT B1
Тихая печать 50×30 · 	Jim chop etish 50×30 · 	Silent print 50×30 ·\s
Печать 2 стикеров 50×30 · подключить NIIMBOT B1	2 ta 50×30 stiker · NIIMBOT B1 ni ulash	Print 2 labels 50×30 · connect NIIMBOT B1
Печать 2 стикеров 50×30 · 	2 ta 50×30 stiker · 	Print 2 labels 50×30 ·\s
Сменить принтер NIIMBOT	NIIMBOT printerni almashtirish	Change NIIMBOT printer
СКЛАД НЕ УКАЗАН	OMBOR KO‘RSATILMAGAN	WAREHOUSE UNSPECIFIED
Ищу NIIMBOT B1 рядом… Не выключайте принтер.	Yaqindagi NIIMBOT B1 qidirilmoqda… Printerni o‘chirmang.	Searching for nearby NIIMBOT B1… Keep the printer on.
Выберите NIIMBOT B1	NIIMBOT B1 ni tanlang	Select NIIMBOT B1
Не удалось подготовить изображение этикетки для печати.	Chop etish uchun stiker tasvirini tayyorlab bo‘lmadi.	Could not prepare the label image for printing.
НАПЕЧАТАНО · 	CHOP ETILDI · 	PRINTED ·\s
 · заказ №	 · buyurtma №	 · order #
 · 50×30 мм	 · 50×30 mm	 · 50×30 mm
НАПЕЧАТАНО 2 ЭТИКЕТКИ · 	2 TA STIKER CHOP ETILDI · 	2 LABELS PRINTED ·\s
 Если NIIMBOT открыт на другом телефоне — закройте там приложение и повторите.	 Agar NIIMBOT boshqa telefonda ochiq bo‘lsa, u yerdagi ilovani yoping va takrorlang.	 If NIIMBOT is open on another phone, close the app there and try again.
Наклеенных ШК пока нет.	Hozircha yopishtirilgan SHK yo‘q.	No applied labels yet.
КРУПНЫЕ ЦИФРЫ: 	KATTA RAQAMLAR: 	LARGE DIGITS:\s
Заказ WB №	WB buyurtmasi №	WB order #
заявка №	ariza №	request #
Короб: 	Quti: 	Box:\s
ШК наклейки: 	Stiker SHK: 	Label barcode:\s
История наклеек FBS	FBS stikerlar tarixi	FBS label history
ШАГ 2 ИЗ 2 · ОТСКАНИРУЙТЕ КИЗ	2-QADAM · KIZNI SKANERLANG	STEP 2 OF 2 · SCAN MARKING CODE
ШАГ 1 ИЗ 2 · ОТСКАНИРУЙТЕ ШК	1-QADAM · SHKNI SKANERLANG	STEP 1 OF 2 · SCAN BARCODE
Размер: 	O‘lcham: 	Size:\s
После приёма КИЗ откроется наклейка 	KIZ qabul qilingach stiker ochiladi: 	After accepting the marking code, the label will open:\s
После ШК это окно переключится на КИЗ.	SHKdan keyin oyna KIZga o‘tadi.	After the barcode, this window will switch to marking code scanning.
Сканируйте КИЗ Data Matrix	Data Matrix KIZni skanerlang	Scan Data Matrix marking code
Товар из короба 	Qutidagi mahsulot 	Item from box\s
Свернуть	Yig‘ish	Collapse
Отменить принятый КИЗ?	Qabul qilingan KIZ bekor qilinsinmi?	Cancel the accepted marking code?
КИЗ будет удалён из заказа Wildberries и освобождён в WMS. После этого отсканируйте правильный КИЗ.	KIZ Wildberries buyurtmasidan o‘chiriladi va WMSda bo‘shatiladi. Keyin to‘g‘ri KIZni skanerlang.	The marking code will be removed from the Wildberries order and released in WMS. Then scan the correct marking code.
Да, отменить	Ha, bekor qilish	Yes, cancel
Отсканируйте другой КИЗ.	Boshqa KIZni skanerlang.	Scan another marking code.
ЗАКАЗ №	BUYURTMA №	ORDER #
СКЛАД: 	OMBOR: 	WAREHOUSE:\s
НЕ УКАЗАН	ANIQLANMAGAN	UNSPECIFIED
Отложить заказ?	Buyurtmani keyinga qoldirasizmi?	Postpone order?
Заказ вернётся в очередь. Используйте это только если товар или короб найти невозможно.	Buyurtma navbatga qaytadi. Faqat mahsulot yoki qutini topib bo‘lmasa foydalaning.	The order will return to the queue. Only use this if the item or box cannot be found.
Отложить	Keyinga qoldirish	Postpone
Какого короба нет на паллете?	Palletda qaysi quti yo‘q?	Which box is missing from the pallet?
Сообщить об отсутствующем коробе?	Yo‘q quti haqida xabar berilsinmi?	Report missing box?
Паллетсорт: 	Palletsort: 	Sorting pallet:\s
Менеджер увидит задачу проверки в вебе. Остатки и заявка автоматически не изменятся.	Menejer vebda tekshiruv vazifasini ko‘radi. Qoldiq va ariza avtomatik o‘zgarmaydi.	The manager will see a check task in the web app. Stock and request will not change automatically.
Отправить сигнал	Xabar yuborish	Send report
СИГНАЛ ТСД: на паллете нет короба 	TSD XABARI: paletda quti yo‘q 	HANDHELD REPORT: box missing from pallet\s
[FBS_MISSING_PALLET_BOX] Короб: 	[FBS_MISSING_PALLET_BOX] Quti: 	[FBS_MISSING_PALLET_BOX] Box:\s
; паллетсорт: 	; saralash paleti: 	; sorting pallet:\s
; заявка: 	; topshiriq: 	; request:\s
; заказ: 	; buyurtma: 	; order:\s
Отправляю сигнал менеджеру…	Menejerga xabar yuborilmoqda…	Sending report to manager…
Сигнал отправлен. Менеджер проверит короб 	Xabar yuborildi. Menejer qutini tekshiradi: 	Report sent. The manager will check box\s
 в вебе.	 veb-ilovada.	 in the web app.
Обновите задание и повторно отсканируйте старый КИЗ.	Topshiriqni yangilang va eski KIZni qayta skanerlang.	Refresh the task and scan the old marking code again.
Проверяю...	Tekshirilmoqda...	Checking...
Операция не выполнена. Повторите сканирование.	Amal bajarilmadi. Qayta skanerlang.	Operation failed. Scan again.
Принято.	Qabul qilindi.	Accepted.
Задание уже изменилось. Обновляю очередь…	Vazifa allaqachon o‘zgargan. Navbat yangilanmoqda…	The task has changed. Refreshing the queue…
Загружаю поставки FBS для упаковки...	FBS qadoqlash yetkazib berishlari yuklanmoqda...	Loading FBS shipments for packing...
Не удалось загрузить грузоместа FBS.	FBS yuk joylarini yuklab bo‘lmadi.	Could not load FBS shipping packages.
Загрузка...	Yuklanmoqda...	Loading...
ОТКРЫТ КОРОБ\n	QUTI OCHILDI\n	BOX OPEN\n
ОТКРЫТО ГРУЗОМЕСТО\n	YUK JOYI OCHILDI\n	SHIPPING PACKAGE OPEN\n
Заполнено: 	To‘ldirildi: 	Filled:\s
 · без ограничения	 · cheklovsiz	 · no limit
Поставка WB: 	WB yetkazib berish: 	WB shipment:\s
Закрыть грузоместо	Yuk joyini yopish	Close shipping package
Кладите товар в этот короб и сканируйте ШК каждой положенной единицы. Не собранный товар сначала отпикайте в заявке FBS.	Tovarni shu qutiga joylang va har bir birlik SHKini skanerlang. Yig‘ilmagan tovarni avval FBS buyurtmasida yig‘ing.	Put items into this box and scan each product barcode. First scan unpicked items in the FBS request.
Сканируйте полный ШК с наклейки заказа WB. Один заказ нельзя уложить дважды или в другое грузоместо.	WB buyurtma stikeridagi to‘liq SHKni skanerlang. Bir buyurtmani ikki marta yoki boshqa joyga qo‘yib bo‘lmaydi.	Scan the full barcode on the WB order label. An order cannot be packed twice or into another shipping package.
Сканируйте ШК заказа WB	WB buyurtma SHK sini skanerlang	Scan WB order barcode
Положить товар в короб	Tovarni qutiga joylash	Put item into box
Добавить заказ в грузоместо	Buyurtmani yuk joyiga qo‘shish	Add order to shipping package
